account_nbr,risk,cu_crd_line,max_upper_bound,adjusted_credit_limit
00oyr3QppAzjLws4,Good,2900,31.57798783945928,2900.0
02WRVV8yusgcZWLW,Good,15000,5681.649827473025,15000.0
033o9yHYen3xoz6k,Good,15000,3281.627695631029,15000.0
034bM166vNmgLiIA,Risky,1100,125.91884327995167,1100.0
03cqv0gFjEIiQG0x,Risky,2500,0.0,2500.0
03ne5pYq1NqrJlEc,Bad,4000,922.0092009486042,4000.0
049sX01uVFhaa0i2,Good,15000,2624.120922306652,15000.0
04RFIeRTRKVvYY4G,Bad,2750,1348.7714621462187,2750.0
06SijOFpCXUvw9hs,Good,25000,5234.942895703347,25000.0
07Clq12JW12ktIyi,Risky,1000,0.0,1000.0
07XlBiCfnQtNCNsP,Good,2300,184.99866325678144,2300.0
08I8UH07m7ypjBcH,Good,13000,5450.2192795245965,13000.0
08WIx7QeGCxx3Qo7,Risky,5000,590.8776723162175,5000.0
08WtgQ3EbeGILWWF,Risky,12000,0.0,12000.0
08yAVs3VkBqof9IF,Bad,2500,79.85266606690155,2500.0
09UcrKF6OnDU0uGB,Risky,10000,3170.3305144233173,10000.0
09YWzSryUIWugmuQ,Risky,5000,0.0,5000.0
09hLyXrOaQ1RvunN,Risky,9200,0.0,9200.0
09qxxPHHPpExgfbJ,Risky,3000,0.0,3000.0
09u8FhMHTWxAfe6l,Good,15000,1780.4581778300624,15000.0
09urNCmkAfBit8ED,Good,25000,14648.24303101269,25000.0
0AhQ7kZQaxhVg5d0,Good,12000,1010.1447766341198,12000.0
0AiVD1BQVqQu9vDO,Risky,590,0.0,590.0
0AqLx6QcUKlxYVnf,Good,6400,185.29363940135207,6400.0
0C2VVHyCahESbVht,Good,25000,905.4153473540036,25000.0
0C4BaQX16taKXV8C,Good,1500,0.0,1500.0
0CWyRhliYS5WCuhi,Good,700,0.0,700.0
0Cn9HVsJUwMO2cFD,Good,5000,0.0,5000.0
0De4nY4jFKCj7wgf,Risky,900,0.0,900.0
0E6jAhDsu277DEkD,Good,12000,298.3812526277688,12000.0
0EJYq3gks3ZpK2uo,Risky,9000,0.0,9000.0
0Es4wmzbttmONVwf,Risky,3000,490.7477651569853,3000.0
0F8b6Tqf2xNQH0ck,Risky,5000,0.0,5000.0
0FhtS1MQQ2uXzFoI,Risky,25000,1468.6284031601708,25000.0
0G2ifvfzbuiiYf8s,Good,2800,328.42437602489605,2800.0
0GGVzCUQ5GMJchkl,Bad,900,90.06651795659523,900.0
0GchP05IaheDB1Ag,Good,5000,101.25912923650196,5000.0
0GdEsDFcm6FGfDCt,Good,1700,27.2486037820441,1700.0
0HCTlPqUzA3efkyF,Risky,4100,218.2893777276566,4100.0
0HEnn4KcOSJfVbRi,Good,20000,6364.131166600266,20000.0
0HJO20HK4apPqg13,Good,3200,0.0,3200.0
0HWHAArP7fD1K8NL,Good,14700,1322.5396157694313,14700.0
0Htpsk2jf2fAMOwA,Risky,2600,877.517611512396,2600.0
0IBlYp366byfa1ul,Risky,15000,525.5821409504308,15000.0
0ISWuTCijfd65spF,Good,11300,2266.898357405932,11300.0
0IvfHIuwjMYPujyc,Bad,30000,194.0976882498576,30000.0
0J0FQ2eH1whgfcqK,Good,14200,1252.533504090351,14200.0
0J39AY0xIc6vcT8V,Good,10000,206.6369579347633,10000.0
0JB2s4ypkB0R7Dtr,Good,15000,6067.763663582111,15000.0
0JMi4uEa3oGYEzit,Risky,250,41.55427448434012,250.0
0JSeQ5utRxQi5dWY,Good,15000,90.4225269403384,15000.0
0JYXIQhZTd19ycT7,Good,11500,2511.9910074121435,11500.0
0JfPVibCdkkiAitc,Good,11500,618.7166541414906,11500.0
0Jpm1RaFPDh6eLIu,Bad,4500,157.94202979469804,4500.0
0Kkdl24TPdzIPg1r,Good,10000,812.8903005310293,10000.0
0LBMTJACIEd8EJyX,Risky,2000,0.0,2000.0
0LoC6XHVRZ80Yb5h,Risky,1500,259.6743988974521,1500.0
0LxtqbbM2CqCuxu6,Good,15000,928.5879705697656,15000.0
0MIcJwljtb0dSIac,Risky,3000,43.27615848568027,3000.0
0MOgy8pZbmQeYhVT,Good,3900,117.5974404322196,3900.0
0MaFzm0v3RPBpe9k,Risky,550,25.20446674557461,550.0
0MgpdN8g0HiNS0VX,Risky,25000,0.0,25000.0
0N9mmtRLs5MH6Zix,Good,7000,107.26102815093294,7000.0
0NJkJ1Ju1Z0baHc9,Risky,9000,0.0,9000.0
0OaMaQ2BOhuikbgU,Good,5000,0.0,5000.0
0OaRUjz5OD72OuJK,Good,12000,2674.302228277777,12000.0
0OnXNnWwg2gnMXt9,Risky,1000,0.0,1000.0
0PcITEWdOZT6VsDw,Risky,500,0.0,500.0
0PgimM534geSrIlx,Good,9200,242.96632640800445,9200.0
0PktcRHEPCDSDauG,Good,4800,26.281779997883454,4800.0
0QAwcFNTzAd3T6XE,Good,9000,794.5601708197476,9000.0
0Qg1bLO63Dr6K3SB,Good,16000,549.5773131106122,16000.0
0QjEz2egpCXnoIq3,Risky,2500,1433.997772365722,2500.0
0R0Hslqou2X1sUIr,Good,3400,0.0,3400.0
0RYQdilajadAAi4y,Good,15900,804.4623564861707,15900.0
0RzgSSsCusISISKI,Good,10000,68.95388654633679,10000.0
0SRvC8IsCAbqwDWc,Good,3000,0.0,3000.0
0SyR7hPgS9F7Erqk,Bad,8600,0.0,8600.0
0TF7j3QAAkdqz9mB,Good,17500,388.1843043849371,17500.0
0TGosQTzhRhd7X6l,Risky,5000,0.0,5000.0
0TIrorFhK3deabB4,Risky,10000,9170.863289568571,12000.0
0TjQEQMtAfoYbsfD,Good,17200,2747.299774592871,17200.0
0TrlX9EITmiEzJJZ,Risky,2500,359.2035183166245,2500.0
0TwmzjB9Ahcdo6d2,Good,16500,2632.179854939711,16500.0
0UN69DUuvxRS8pt5,Risky,1100,263.0924074477579,1100.0
0Uzd1IvipmdwF4er,Risky,2500,0.0,2500.0
0V1mmoEm61UVLzHj,Good,15000,2337.0467072138854,15000.0
0VJmhtHJ4SChhmU3,Risky,4500,0.0,4500.0
0VvXASdW7rJh9rY7,Bad,6000,2252.866056292092,6000.0
0WBdJ5K0pGMBl8bp,Good,15800,2563.228118182913,15800.0
0WcGPgpWtroofNmS,Good,500,266.62318044603427,500.0
0WrF9LrypQLAVzEU,Risky,200,0.0,200.0
0YAT1pVUH8lD3yyi,Risky,500,290.1342607873144,500.0
0YCygvNXGmcAGQmv,Good,15000,3229.342619562574,15000.0
0ZTJ5Jibc86m0Muq,Bad,1500,176.9901833859138,1500.0
0Zqb5GE5X0PZ2jYe,Good,8800,76.34555520561914,8800.0
