current_account_nbr,transaction_type,cycle,first_purchase_ind,us_conversion
02WRVV8yusgcZWLW,SALE,2,N,499.28
02WRVV8yusgcZWLW,SALE,3,N,5119.56
02WRVV8yusgcZWLW,SALE,4,N,884.46
033o9yHYen3xoz6k,SALE,1,N,2317.69
033o9yHYen3xoz6k,SALE,2,N,1711.48
033o9yHYen3xoz6k,SALE,3,N,2169.98
033o9yHYen3xoz6k,SALE,4,N,1024.96
033o9yHYen3xoz6k,SALE,5,N,465.05
033o9yHYen3xoz6k,SALE,6,N,1224.42
033o9yHYen3xoz6k,SALE,7,N,1272.91
033o9yHYen3xoz6k,SALE,8,N,1712.32
033o9yHYen3xoz6k,SALE,9,N,1518.38
033o9yHYen3xoz6k,SALE,10,N,1605.32
033o9yHYen3xoz6k,SALE,11,N,2830.4
033o9yHYen3xoz6k,SALE,12,N,1821.93
034bM166vNmgLiIA,SALE,1,N,30.0
034bM166vNmgLiIA,SALE,2,N,126.24
034bM166vNmgLiIA,SALE,3,N,30.0
034bM166vNmgLiIA,SALE,4,N,50.0
034bM166vNmgLiIA,SALE,8,N,1041.28
034bM166vNmgLiIA,SALE,9,N,30.0
034bM166vNmgLiIA,SALE,10,N,445.0
034bM166vNmgLiIA,SALE,11,N,570.12
034bM166vNmgLiIA,SALE,12,N,119.27
049sX01uVFhaa0i2,SALE,1,N,1849.62
049sX01uVFhaa0i2,SALE,2,N,2542.32
049sX01uVFhaa0i2,SALE,3,N,2526.0
049sX01uVFhaa0i2,SALE,4,N,706.94
049sX01uVFhaa0i2,SALE,5,N,897.32
049sX01uVFhaa0i2,SALE,6,N,1470.67
049sX01uVFhaa0i2,SALE,7,N,2132.14
049sX01uVFhaa0i2,SALE,8,N,2714.54
049sX01uVFhaa0i2,SALE,9,N,2877.69
049sX01uVFhaa0i2,SALE,10,N,1842.02
049sX01uVFhaa0i2,SALE,11,N,2940.9
049sX01uVFhaa0i2,SALE,12,N,681.5699999999999
05AfSsd6epxXiK01,SALE,1,N,879.59
05AfSsd6epxXiK01,SALE,2,N,3029.7
05AfSsd6epxXiK01,SALE,3,N,2776.76
05AfSsd6epxXiK01,SALE,5,N,4411.22
05AfSsd6epxXiK01,SALE,6,N,4034.53
05AfSsd6epxXiK01,SALE,7,N,4379.33
05AfSsd6epxXiK01,SALE,8,N,5598.79
05AfSsd6epxXiK01,SALE,9,N,10042.18
05AfSsd6epxXiK01,SALE,10,N,2499.33
05AfSsd6epxXiK01,SALE,11,N,3921.34
05AfSsd6epxXiK01,SALE,12,N,9812.78
05oLsFWaSLYzc5hv,SALE,1,N,62.21
05oLsFWaSLYzc5hv,SALE,2,N,147.11
05oLsFWaSLYzc5hv,SALE,3,N,3.5
05oLsFWaSLYzc5hv,SALE,5,N,565.87
05oLsFWaSLYzc5hv,SALE,6,N,505.53000000000003
05oLsFWaSLYzc5hv,SALE,7,N,289.38
05oLsFWaSLYzc5hv,SALE,8,N,651.91
05oLsFWaSLYzc5hv,SALE,9,N,542.47
05oLsFWaSLYzc5hv,SALE,10,N,359.94
05oLsFWaSLYzc5hv,SALE,11,N,449.24000000000007
05oLsFWaSLYzc5hv,SALE,12,N,64.19
062wBe4JtO4ij7Mp,SALE,1,N,1818.86
062wBe4JtO4ij7Mp,SALE,2,N,10091.16
062wBe4JtO4ij7Mp,SALE,3,N,2461.58
062wBe4JtO4ij7Mp,SALE,5,N,2160.16
062wBe4JtO4ij7Mp,SALE,6,N,3254.27
062wBe4JtO4ij7Mp,SALE,7,N,7684.47
062wBe4JtO4ij7Mp,SALE,8,N,2668.57
062wBe4JtO4ij7Mp,SALE,9,N,1856.72
062wBe4JtO4ij7Mp,SALE,10,N,3305.76
062wBe4JtO4ij7Mp,SALE,11,N,3155.23
062wBe4JtO4ij7Mp,SALE,12,N,3887.9
06SijOFpCXUvw9hs,SALE,1,N,4628.03
06SijOFpCXUvw9hs,SALE,2,N,1721.28
06SijOFpCXUvw9hs,SALE,3,N,1668.6499999999999
06SijOFpCXUvw9hs,SALE,4,N,754.26
06SijOFpCXUvw9hs,SALE,5,N,970.4000000000001
06SijOFpCXUvw9hs,SALE,6,N,1585.1399999999999
06SijOFpCXUvw9hs,SALE,7,N,900.85
06SijOFpCXUvw9hs,SALE,8,N,1019.5500000000001
06SijOFpCXUvw9hs,SALE,9,N,1515.1200000000001
06SijOFpCXUvw9hs,SALE,10,N,1632.14
06SijOFpCXUvw9hs,SALE,11,N,2914.75
06SijOFpCXUvw9hs,SALE,12,N,1216.42
08AQCc8ZUkbuWVtv,SALE,1,N,4380.66
08AQCc8ZUkbuWVtv,SALE,2,N,3726.58
08AQCc8ZUkbuWVtv,SALE,3,N,2642.85
